gender,job,wb_1,wb_2,wb_3,wb_4,wb_5,wb_6,wb_7,wb_8,wb_9,wb_10,wb_11,wb_12,wb_13,wb_14,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,p_31,p_32,p_33,p_34,p_35,p_36,p_37,p_38,p_39,p_40,p_41,p_42,p_43,p_44,p_45,self_oriented,other_oriented,socially_prescribed,psum,wb,swb
Kvinde,Studerende,4,3,2,3,2,4,3,3,2,3,3,4,2,3,4,1,3,1,7,5,3,6,1,1,7,5,3,4,4,2,4,2,3,3,1,2,6,1,1,4,3,5,3,1,6,3,2,3,6,6,6,1,2,6,5,5,1,1,1,69,30,51,150,41,19.25
Kvinde,Studerende,4,5,3,4,4,5,5,4,5,4,5,5,5,4,5,1,3,3,2,1,4,5,2,2,7,2,1,4,2,5,1,1,2,1,1,1,5,2,1,4,1,1,1,1,3,1,2,2,2,5,6,4,1,4,2,6,2,1,1,45,36,33,114,62,29.31
Kvinde,Studerende,3,2,3,3,3,3,3,3,3,2,3,3,4,3,6,2,1,1,7,6,2,7,3,2,6,6,6,6,5,5,6,2,2,6,2,2,7,2,6,2,2,6,1,3,2,7,3,2,1,5,1,1,2,6,4,5,1,4,1,86,27,52,165,41,18.59
Mand,Studerende,2,4,3,3,3,4,4,4,3,4,5,2,2,4,4,1,4,1,1,3,2,4,1,3,5,5,5,6,7,4,6,2,2,4,3,2,7,2,1,5,6,5,5,3,2,6,5,6,1,5,1,4,2,6,2,6,2,3,2,80,45,37,162,47,22.35
Kvinde,Studerende,4,4,3,3,4,4,4,3,3,3,4,3,5,4,6,3,1,1,7,5,5,2,4,5,5,6,6,7,5,3,4,5,6,6,2,4,7,3,6,3,3,7,3,3,7,7,5,1,5,7,5,1,5,7,6,7,2,3,3,84,46,74,204,51,23.21
Kvinde,Studerende,4,3,4,3,3,3,4,3,4,3,4,4,3,3,5,4,4,2,6,4,2,3,3,3,5,1,4,5,4,4,4,2,3,5,2,2,5,3,3,2,2,6,1,2,7,5,2,3,1,7,2,1,1,7,2,6,2,2,2,70,37,44,151,48,23.21
Kvinde,Arbejdende,3,2,3,4,2,3,3,3,3,2,4,4,3,3,6,2,3,2,7,6,2,1,2,2,7,5,4,5,7,5,5,6,3,6,2,1,7,5,4,5,4,6,3,2,6,5,2,3,3,6,4,2,5,5,4,5,4,3,4,78,47,61,186,42,19.25
Kvinde,Studerende,4,4,4,4,3,3,3,4,4,4,4,5,3,3,4,2,2,1,4,4,2,6,6,1,4,4,2,3,3,4,2,2,4,2,1,2,5,4,4,2,2,2,2,1,4,1,1,1,2,3,3,3,2,5,3,5,1,2,3,50,35,41,126,52,23.21
Mand,Studerende,3,3,4,2,2,3,4,3,2,2,4,4,3,3,3,2,7,2,1,1,3,7,3,2,5,1,1,1,1,2,1,2,2,5,1,4,6,2,1,5,3,2,2,2,1,6,2,1,1,6,4,2,2,3,4,5,1,2,1,49,40,32,121,42,20.73
Kvinde,Studerende,4,4,3,4,2,3,3,4,3,2,4,4,4,3,5,4,4,5,6,3,2,6,3,3,7,6,3,5,3,2,1,5,3,3,3,4,4,5,3,1,2,5,1,3,7,6,5,1,5,5,5,2,4,5,6,5,3,3,4,63,45,68,176,47,21.54
Mand,Arbejdende,4,4,2,3,3,4,4,3,3,4,5,2,2,3,7,6,5,2,5,7,5,6,3,6,6,3,5,7,5,4,6,6,4,6,4,3,6,5,6,5,4,6,2,3,6,6,4,3,5,7,5,2,5,7,5,7,4,2,2,89,59,70,218,46,23.21
Kvinde,Arbejdende,4,4,4,5,5,5,4,3,4,3,5,5,4,4,1,7,2,2,1,2,3,6,5,5,6,2,1,4,3,7,5,3,7,1,1,4,5,7,3,5,1,4,5,1,1,3,1,4,1,7,4,1,1,7,1,4,2,1,5,58,63,31,152,59,27.03
Mand,Studerende,4,4,2,4,3,4,3,3,5,3,4,5,5,4,6,1,1,1,6,6,1,7,3,7,5,5,5,6,1,7,3,2,6,2,1,1,2,6,1,3,1,6,4,1,7,7,2,1,1,7,1,1,2,5,4,6,5,3,6,70,51,44,165,53,23.21
Mand,Studerende,3,3,2,3,2,4,3,2,2,4,5,4,4,3,5,3,5,2,6,3,3,6,2,4,3,2,5,2,5,5,5,5,2,2,2,3,7,5,3,5,5,4,5,2,5,6,5,2,2,6,3,3,5,5,5,5,1,1,2,65,53,54,172,44,19.98
Kvinde,Studerende,5,5,4,5,4,4,4,4,5,4,5,5,4,5,6,2,6,2,3,3,7,7,2,3,6,4,4,4,4,7,5,7,6,5,1,3,7,7,4,2,2,6,2,1,7,7,2,3,3,7,5,2,4,7,2,7,5,3,6,82,62,54,198,63,29.31
Kvinde,Studerende,4,4,3,4,2,3,4,4,3,4,4,5,3,4,5,3,2,1,3,2,1,6,6,3,4,4,2,3,5,4,2,1,4,1,1,5,5,7,5,1,1,4,1,1,3,4,1,1,3,7,1,1,1,7,1,6,5,1,1,62,40,34,136,51,22.35
Mand,Studerende,4,5,2,4,3,4,4,4,5,4,4,5,4,4,3,3,2,1,1,1,1,6,2,6,5,2,2,6,1,5,1,1,2,2,1,2,6,3,1,2,1,2,1,1,1,6,1,1,2,7,6,1,1,5,1,2,1,1,2,51,33,27,111,56,25.03
Mand,Studerende,5,4,4,5,4,4,4,3,5,3,5,4,5,4,5,4,4,2,3,5,4,6,1,5,6,3,5,6,5,6,4,5,5,3,1,5,6,5,5,5,1,6,3,2,6,5,4,3,2,2,2,2,3,6,2,6,5,6,2,71,58,53,182,59,28.13
Mand,Arbejdende,5,5,4,5,4,5,4,4,5,4,5,5,4,4,6,1,1,3,3,4,1,6,1,3,6,4,2,6,5,1,5,6,2,4,1,2,3,6,3,5,5,5,2,1,5,5,1,5,2,5,3,1,5,5,3,3,1,1,2,71,36,43,150,63,30.7
Mand,Arbejdende,4,3,3,4,3,4,3,3,4,3,4,3,2,4,4,2,1,2,3,5,1,6,2,3,5,3,2,3,4,2,5,4,2,1,2,5,6,1,2,2,2,4,1,3,2,3,2,1,1,5,1,1,1,5,2,7,2,3,1,62,28,35,125,47,22.35
Mand,Studerende,3,4,2,4,3,3,4,4,4,4,4,4,3,3,2,3,2,1,3,2,2,5,2,1,5,6,2,5,4,4,4,3,4,2,2,2,5,5,4,3,1,3,3,2,2,2,2,1,2,6,3,3,2,5,3,5,3,2,2,57,39,39,135,49,21.54
Mand,Studerende,3,3,2,4,2,3,3,2,4,2,3,3,4,3,5,4,1,1,7,6,1,5,2,3,5,5,1,5,5,3,5,1,1,1,2,2,5,1,7,2,1,3,3,1,4,6,4,1,1,5,1,1,2,6,1,5,3,1,1,68,28,40,136,41,19.25
Mand,Studerende,4,4,4,4,3,3,3,4,3,3,5,3,5,3,3,4,4,2,5,1,2,6,2,3,5,2,3,2,2,4,3,1,3,2,2,6,6,2,5,2,2,2,2,4,1,2,7,2,4,3,2,1,1,4,5,4,3,5,3,44,43,52,139,51,23.21
Mand,Studerende,5,4,5,5,4,4,3,4,5,4,5,5,4,4,2,3,2,1,2,2,4,5,2,2,5,3,4,3,5,5,2,2,2,2,1,5,4,6,4,5,2,3,5,2,4,2,2,2,1,2,1,3,2,4,5,5,2,2,2,46,49,39,134,61,28.13
Mand,Studerende,3,3,2,4,3,3,4,2,4,3,4,3,3,3,6,2,1,1,4,5,1,1,2,5,6,3,5,6,6,2,3,4,6,5,4,3,5,6,5,4,1,7,2,2,4,5,3,4,5,7,4,1,5,7,5,6,2,3,4,76,41,61,178,44,20.73
Kvinde,Arbejdende,3,2,2,2,2,2,2,2,2,3,3,3,2,4,4,2,2,2,7,2,3,6,3,4,6,5,3,5,5,4,6,6,2,6,2,4,6,2,4,3,1,6,1,2,7,7,6,2,6,7,4,1,6,7,7,6,1,2,2,80,34,71,185,34,16.36
Kvinde,Studerende,2,3,2,3,1,4,3,2,2,2,4,3,2,3,6,4,1,1,7,6,5,7,6,5,6,7,6,7,6,5,6,4,4,6,3,2,7,2,7,5,2,7,6,2,7,7,6,4,4,6,4,2,4,6,6,7,4,3,2,95,50,75,220,36,18.59
Mand,Studerende,4,4,3,4,4,3,3,4,4,3,4,4,4,4,4,5,2,3,3,2,3,6,2,5,4,5,5,2,2,3,1,1,6,2,1,2,7,4,4,3,1,2,2,1,2,7,2,1,1,7,1,1,2,4,3,5,2,3,6,57,48,35,140,52,22.35
Mand,Studerende,4,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,4,4,4,5,2,4,5,6,5,5,5,6,5,6,5,3,6,5,1,5,3,5,4,2,1,6,2,3,4,6,4,2,3,6,4,4,5,5,4,4,5,3,2,70,56,57,183,42,19.98
Mand,Studerende,4,4,2,4,2,3,4,4,2,4,4,3,2,3,2,6,6,6,3,7,6,7,3,7,5,6,2,7,6,7,7,6,7,6,2,2,6,5,2,2,3,6,6,2,2,7,2,6,2,7,6,2,2,7,2,2,6,2,6,89,77,43,209,45,20.73
Mand,Studerende,4,4,3,3,4,4,4,4,3,4,4,4,3,3,4,3,5,3,2,2,2,6,2,4,4,5,3,2,2,5,1,2,5,2,1,1,5,6,2,2,1,2,2,2,6,5,2,2,1,6,3,2,2,2,2,3,5,2,3,49,49,36,134,51,23.21
Kvinde,Studerende,3,4,2,4,2,3,3,2,3,2,4,4,4,4,5,5,3,6,6,5,4,5,5,4,6,5,4,6,6,6,6,6,3,4,2,5,5,4,2,2,2,7,2,2,5,7,4,6,3,7,5,2,3,7,6,6,2,3,6,87,56,62,205,44,19.98
Mand,Studerende,5,4,3,5,2,4,3,4,5,4,5,5,4,4,1,2,6,2,1,1,1,5,2,3,5,2,2,2,2,2,1,1,7,1,1,1,5,4,2,1,1,1,1,1,6,1,4,1,2,3,2,1,1,6,4,1,2,1,3,33,37,35,105,57,26.02
